,FIPS,FIPSTXT,State,County,metro,lowemp_15,Econ..Diff,econ_15,econ_04,lowemp_04,Hillary Clinton,Bernie Sanders,Donald Trump,Ted Cruz
1,1001,1001,AL,Autauga County,1,0,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
2,1003,1003,AL,Baldwin County,0,0,0,5,5,0,Hillary Clinton,NO,Donald Trump,NO
3,1005,1005,AL,Barbour County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
4,1007,1007,AL,Bibb County,1,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
5,1009,1009,AL,Blount County,1,1,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
6,1011,1011,AL,Bullock County,0,1,2,3,1,1,Hillary Clinton,NO,Donald Trump,NO
7,1013,1013,AL,Butler County,0,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
8,1015,1015,AL,Calhoun County,1,1,0,4,4,0,Hillary Clinton,NO,Donald Trump,NO
9,1017,1017,AL,Chambers County,0,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
10,1019,1019,AL,Cherokee County,0,1,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
11,1021,1021,AL,Chilton County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
12,1023,1023,AL,Choctaw County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
13,1025,1025,AL,Clarke County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
14,1027,1027,AL,Clay County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
15,1029,1029,AL,Cleburne County,0,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
16,1031,1031,AL,Coffee County,0,0,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
17,1033,1033,AL,Colbert County,1,0,-4,0,4,0,Hillary Clinton,NO,Donald Trump,NO
18,1035,1035,AL,Conecuh County,0,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
19,1037,1037,AL,Coosa County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
20,1039,1039,AL,Covington County,0,1,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
21,1041,1041,AL,Crenshaw County,0,0,2,3,1,0,Hillary Clinton,NO,Donald Trump,NO
22,1043,1043,AL,Cullman County,0,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
23,1045,1045,AL,Dale County,0,0,-1,3,4,0,Hillary Clinton,NO,Donald Trump,NO
24,1047,1047,AL,Dallas County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
25,1049,1049,AL,DeKalb County,0,1,0,3,3,0,NO,NO,NO,NO
26,1051,1051,AL,Elmore County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
27,1053,1053,AL,Escambia County,0,1,-3,0,3,1,Hillary Clinton,NO,Donald Trump,NO
28,1055,1055,AL,Etowah County,1,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
29,1057,1057,AL,Fayette County,0,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
30,1059,1059,AL,Franklin County,0,0,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
31,1061,1061,AL,Geneva County,1,1,-1,0,1,0,Hillary Clinton,NO,Donald Trump,NO
32,1063,1063,AL,Greene County,1,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
33,1065,1065,AL,Hale County,1,1,-3,0,3,1,Hillary Clinton,NO,Donald Trump,NO
34,1067,1067,AL,Henry County,1,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
35,1069,1069,AL,Houston County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
36,1071,1071,AL,Jackson County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
37,1073,1073,AL,Jefferson County,1,0,-5,0,5,0,Hillary Clinton,NO,Donald Trump,NO
38,1075,1075,AL,Lamar County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
39,1077,1077,AL,Lauderdale County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
40,1079,1079,AL,Lawrence County,1,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
41,1081,1081,AL,Lee County,1,0,0,4,4,0,Hillary Clinton,NO,Donald Trump,NO
42,1083,1083,AL,Limestone County,1,1,1,4,3,0,Hillary Clinton,NO,Donald Trump,NO
43,1085,1085,AL,Lowndes County,1,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
44,1087,1087,AL,Macon County,0,1,0,4,4,1,Hillary Clinton,NO,Donald Trump,NO
45,1089,1089,AL,Madison County,1,0,0,4,4,0,Hillary Clinton,NO,Donald Trump,NO
46,1091,1091,AL,Marengo County,0,1,-3,0,3,1,Hillary Clinton,NO,Donald Trump,NO
47,1093,1093,AL,Marion County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
48,1095,1095,AL,Marshall County,0,0,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
49,1097,1097,AL,Mobile County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
50,1099,1099,AL,Monroe County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
51,1101,1101,AL,Montgomery County,1,0,0,4,4,0,Hillary Clinton,NO,Donald Trump,NO
52,1103,1103,AL,Morgan County,1,0,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
53,1105,1105,AL,Perry County,0,1,-3,0,3,1,Hillary Clinton,NO,Donald Trump,NO
54,1107,1107,AL,Pickens County,0,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
55,1109,1109,AL,Pike County,0,0,4,4,0,0,Hillary Clinton,NO,Donald Trump,NO
56,1111,1111,AL,Randolph County,0,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
57,1113,1113,AL,Russell County,1,0,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
58,1115,1115,AL,St. Clair County,1,0,0,0,0,0,NO,NO,NO,NO
59,1117,1117,AL,Shelby County,1,0,0,0,0,0,Hillary Clinton,NO,Donald Trump,NO
60,1119,1119,AL,Sumter County,0,1,4,4,0,1,Hillary Clinton,NO,Donald Trump,NO
61,1121,1121,AL,Talladega County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
62,1123,1123,AL,Tallapoosa County,0,1,-3,0,3,0,Hillary Clinton,NO,Donald Trump,NO
63,1125,1125,AL,Tuscaloosa County,1,0,4,4,0,0,Hillary Clinton,NO,Donald Trump,NO
64,1127,1127,AL,Walker County,1,1,0,0,0,1,Hillary Clinton,NO,Donald Trump,NO
65,1129,1129,AL,Washington County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
66,1131,1131,AL,Wilcox County,0,1,0,3,3,1,Hillary Clinton,NO,Donald Trump,NO
67,1133,1133,AL,Winston County,0,1,0,3,3,0,Hillary Clinton,NO,Donald Trump,NO
68,2013,2013,AK,Aleutians East Borough,0,0,0,3,3,1,NO,Bernie Sanders,NO,Ted Cruz
69,2016,2016,AK,Aleutians West Census Area,0,0,0,3,3,0,NO,Bernie Sanders,NO,Ted Cruz
70,2020,2020,AK,Anchorage Municipality,1,0,0,4,4,0,NO,Bernie Sanders,Donald Trump,NO
71,2050,2050,AK,Bethel Census Area,0,1,0,0,0,1,NO,Bernie Sanders,NO,Ted Cruz
